data
Номер заказа|Дата заказа|Название товара|Категория товара|Количество продаж|Цена за единицу|Общая стоимость
1077|10.12.2021|Дверная ручка «Open»|Инструменты|100|50|5000
1035|12.12.2021|Шпаклевка Хоз-маг|Строительная|56|2000|240000
1036|12.12.2021|Краска Рус-принт|Интерьер|147|1500|200000
1037|15.12.2021|Шкаф Икея|Мебель|7|150000|450000
1038|15.12.2021|Тумбочка Икея|Мебель|50|10000|500000
1039|15.12.2021|Стулья «Рус-мебель»|Мебль|50|3000|150000
1112|15.12.2021|Стол «Bloody»|Мебель|5|40000|200000
1113|15.12.2021|Краска темная «Metallica»|Интерьер|11|3500|38500
1114|16.12.2021|Перчатки |Инструменты|10000|120|1200000
1115|16.12.2021|Цемент «Богаырь»|Строительные материалы|10|20000|200000
1116|16.12.2021|Шпатель |Инструменты|40|400|280000
1117|16.12.2021|Молоток |Инструменты|5|8000|400000
1118|16.12.2021|Раскладушка|Мебель|30|70000|210000
1119|17.12.2021|Строительная форма|Оборудование|7|30000|210000
1120|17.12.2021|Стеллаж|Меебль|4|4000|16000
